content,hasil_stopword,hasil_stemming
"akun saya tiba tiba ke logout sendiri, awal nya masih sempat masuk dan stuck loading terus, tiba tiba ada waktu sesi habis dan ke logout sendiri, sekarang saya mau login lagi menggunakan nomer ataupun email malah ga bisa, tulisan nya coba lagi nanti dan gitu terus, gimana nihhh, saya mau kemana mana jadi gabisa, btw saya udah vaksin booster, sudah suntik, dan sudah ampe 2 hari tetap juga masih belum muncul di akun PeduliLindungi saya, cuma ada vaksin 1 dan 2, saya minta tanggung jawab nya segera","['akun', 'masuk', 'sesi', 'habis', 'email', 'tulisan', 'coba', 'vaksin', 'booster', 'suntik', 'muncul', 'akun', 'pedulilindungi', 'vaksin', 'tanggung']","['akun', 'masuk', 'sesi', 'habis', 'email', 'tulis', 'coba', 'vaksin', 'booster', 'suntik', 'muncul', 'akun', 'pedulilindungi', 'vaksin', 'tanggung']"
Bisa membantu dalam melindungi penyebaran covid di Indonesia,"['membantu', 'melindungi', 'penyebaran', 'covid', 'indonesia']","['bantu', 'lindung', 'sebar', 'covid', 'indonesia']"
"Ini kenapa sih sistem. Minta pembaruan data, udah di upgrade gabisa dibuka. Pas bisa dibuka minta isi data baru. Pas baru ngisi eeeh selalu kembali ke data awal alias kosong. Nyusahin banget","['sistem', 'pembaruan', 'data', 'dibuka', 'dibuka', 'isi', 'data', 'data', 'kosong']","['sistem', 'baru', 'data', 'buka', 'buka', 'isi', 'data', 'data', 'kosong']"
Makin update makin jelek😒,['jelek'],['jelek']
Kurang akurat,['akurat'],['akurat']
PeduliLindungi memang oke,['pedulilindungi'],['pedulilindungi']
bagus,['bagus'],['bagus']
APLIKASINYA SERING ERROR SUSAH MASUK KENAPA YAAAA ....???,"['aplikasinya', 'susah', 'masuk']","['aplikasi', 'susah', 'masuk']"
Tidak bisa masuk. Terjadi kesalahan terus menerus,"['masuk', 'kesalahan', 'menerus']","['masuk', 'salah', 'terus']"
Mau dipakai malah suruh relog,"['dipakai', 'suruh']","['pakai', 'suruh']"
Ga bisa login. Web nya ga jelas.,['web'],['web']
"Pagi ini error, bikin panik banyak orang. Kalau memang setiap manusia di Indonesia ini wajib pakai aplikasi ini, harusnya ngga bisa dibiarkan error begini. Ibarat nyuruh anak berkembang tapi ngga ngebolehin anak eksplorasi kemampuan. Payah.","['pagi', 'panik', 'manusia', 'indonesia', 'wajib', 'pakai', 'aplikasi', 'dibiarkan', 'anak', 'berkembang', 'anak', 'eksplorasi', 'kemampuan', 'payah']","['pagi', 'panik', 'manusia', 'indonesia', 'wajib', 'pakai', 'aplikasi', 'biar', 'anak', 'kembang', 'anak', 'eksplorasi', 'mampu', 'payah']"
Gagal login terus bos udah uninstall download lagi berkali kali tetep aja gabisa masuk,"['gagal', 'berkali', 'masuk']","['gagal', 'kali', 'masuk']"
Log out ..masuk lagi ulang dari awal.. mohon diperbaiki. Aplikasi sih ok..karena terintergrasi ke setiap aplkasi yg menyangkut kesehatan,"['masuk', 'ulang', 'mohon', 'diperbaiki', 'aplikasi', 'terintergrasi', 'kesehatan']","['masuk', 'ulang', 'mohon', 'baik', 'aplikasi', 'terintergrasi', 'sehat']"
"Aplikasinya recehan nih selalu error dan setelah di update pasti data master di Peduli lindungi selalu hilang dan buat lagi. Makanya kalau buat aplikasi jangan recehan dong, punya dana besar masa buat aplikasi yg murahan.....","['aplikasinya', 'data', 'master', 'peduli', 'lindungi', 'hilang', 'aplikasi', 'dana', 'aplikasi', 'murahan']","['aplikasi', 'data', 'master', 'peduli', 'lindung', 'hilang', 'aplikasi', 'dana', 'aplikasi', 'murah']"
"Hah.... apk gk guna sering error, Rabu 14 sep 2022 gagal ikut tes kerja karena apk gak guna ini gak bisa dibuka dasar apk pemotong rezeki #bgst","['rabu', 'gagal', 'kerja', 'dibuka', 'dasar', 'pemotong', 'rezeki']","['rabu', 'gagal', 'kerja', 'buka', 'dasar', 'potong', 'rezeki']"
"Pagi min, hari ini peduli lindungi log out otomatis, dan ketika saya mau login baik melalui No Hp dan Email tdk bisa? Saya sdh mencoba untuk uninstall dan install kembali, namun tetap tdk bisa, mohon informasinya ada apa? Terima kasih.","['pagi', 'peduli', 'lindungi', 'otomatis', 'email', 'mencoba', 'mohon', 'informasinya', 'terima', 'kasih']","['pagi', 'peduli', 'lindung', 'otomatis', 'email', 'coba', 'mohon', 'informasi', 'terima', 'kasih']"
"Habis update 14 sept 2022 jadi error' gak bisa scan QR, apakah ini tandanya semua kegiatan sudah gakperlu akses ini lagi ???","['habis', 'tandanya', 'kegiatan', 'akses']","['habis', 'tanda', 'giat', 'akses']"
Kenapa tidak bisa masuk daftar,"['masuk', 'daftar']","['masuk', 'daftar']"
Diupdate malah harus log in lagi. Berkali2 masukin no telp gak bisa. Gagal coba lagi. Payah aplikasi rumittttttttttttttt......!!!!!!! Dari awal muncul bikin rumit maunya apa nih aplikasi,"['berkali', 'masukin', 'gagal', 'coba', 'payah', 'aplikasi', 'muncul', 'rumit', 'maunya', 'aplikasi']","['kali', 'masukin', 'gagal', 'coba', 'payah', 'aplikasi', 'muncul', 'rumit', 'mau', 'aplikasi']"
Ga ada guna.. Nguras uang rakyat,"['uang', 'rakyat']","['uang', 'rakyat']"
Aplikasi ini susah dibuka. Sudah di update tapi tetap tidak bisa dibuka,"['aplikasi', 'susah', 'dibuka', 'dibuka']","['aplikasi', 'susah', 'buka', 'buka']"
"Ini aplikasi apa""an sih? minta d upgrade mulu..tapi setelah di upgrade malah gak bisa masuk..daftar juga gak bisa..terus guna nya apa? Ini aplikasi punya pemerintah loh..dan aplikasi penting untuk kemana-mana trmasuk kerja..tapi kok JELEEKK begini sih? Malah nyusahin aja","['aplikasi', 'aplikasi', 'pemerintah', 'aplikasi']","['aplikasi', 'aplikasi', 'perintah', 'aplikasi']"
Apk buat yang belom vaksin,['vaksin'],['vaksin']
Udah di update malah sertifikat vaksin ilang . Terus juga lebih lama loading nya di bandingin streaming,"['sertifikat', 'vaksin']","['sertifikat', 'vaksin']"
Habis update susah bwt login,"['habis', 'susah']","['habis', 'susah']"
"dah lah ngga guna, lemot lodingnya tiap mau barcode scanner susah",['susah'],['susah']
Terlalu sering diperbaharui,['diperbaharui'],['baharu']
"Mohon diperbaiki,updte trz pada saat dibutuhkan malah eror, dan lama loadingnya,","['mohon', 'dibutuhkan']","['mohon', 'butuh']"
"Aplikasi butut, buat login aja gak bisa 👎👎",['aplikasi'],['aplikasi']
Saya blm bisa buka karena diupdate baru,['buka'],['buka']
"Aplikasi apa ini. Mempersulit sekali. Sudah ber kali kali masuk dengan no hp dan email. Masih tetap tidak bisa. Selalu terjadi kesalahan. Sudah coba install ulang. Msih sama. Coba di hp lain juga masih sama. Percuma saja saya dan keluarga sudah vaksin dosis 1 dan 2 kalau tidak bisa dibuka aplikasinya, jdi tidak ada bukti bahwa sudah vaksin dosis 1 dan 2. Kalau mau lanjut ke vaksin booster jdi dipersulit.","['aplikasi', 'mempersulit', 'masuk', 'email', 'kesalahan', 'coba', 'ulang', 'coba', 'keluarga', 'vaksin', 'dosis', 'dibuka', 'aplikasinya', 'bukti', 'vaksin', 'dosis', 'vaksin', 'booster', 'dipersulit']","['aplikasi', 'sulit', 'masuk', 'email', 'salah', 'coba', 'ulang', 'coba', 'keluarga', 'vaksin', 'dosis', 'buka', 'aplikasi', 'bukti', 'vaksin', 'dosis', 'vaksin', 'booster', 'sulit']"
"Setelah diupdate jadi tidak bisa login, padahal sudah mempunyai akun sebelumnya!",['akun'],['akun']
Bagus,['bagus'],['bagus']
Dengan vaksin kita jadi kuat,"['vaksin', 'kuat']","['vaksin', 'kuat']"
"Macam mana ini aplikasi, sudah isi nomor HP aplikasi cuma muter2 ujung2nya ""country tidak dikenal"" ...bloon sekali yg buat aplikasi ini.hidup Bjorka","['aplikasi', 'isi', 'aplikasi', 'ujungnya', 'dikenal', 'aplikasi']","['aplikasi', 'isi', 'aplikasi', 'ujung', 'kenal', 'aplikasi']"
Setelah di perbarui malah jadi busuk,['perbarui'],['baru']
"setelah update gabisa masuk ke peduli lindungi nya yaa, dicoba install ulang malah gabisa login. padahal nomer telpon dan email sudah benar","['masuk', 'peduli', 'lindungi', 'dicoba', 'ulang', 'email']","['masuk', 'peduli', 'lindung', 'coba', 'ulang', 'email']"
Pas mau masuk kerja ehh gagngun susah login .jadi sering di SP garagra ini payah Keseringan gangguan,"['masuk', 'kerja', 'susah', 'payah', 'keseringan', 'gangguan']","['masuk', 'kerja', 'susah', 'payah', 'sering', 'ganggu']"
"Gak bisa masuk, terjadi kesalahan mulu","['masuk', 'kesalahan']","['masuk', 'salah']"
"Setelah di update malah nggak bisa di pakai, , keluar mulu , , nggak mau scan QR, , ,masuk profile langsung keluar , , apakah update itu untuk sebuah kemunduran ?","['pakai', 'masuk', 'langsung', 'kemunduran']","['pakai', 'masuk', 'langsung', 'mundur']"
Pembaruan terus tapi menu gitu2 aja,"['pembaruan', 'menu']","['baru', 'menu']"
"Hr ini berangkat tp akunnya gbisa login, bikin susah","['berangkat', 'akunnya', 'susah']","['berangkat', 'akun', 'susah']"
"Aplikasi apaansi, aku udah faksin pas mau masuk akun ku buat cek serifikat vaksin nya malah bulak balik ga bisa, masukin nik juga ga bisa anjim emng","['aplikasi', 'masuk', 'akun', 'vaksin', 'bulak', 'masukin']","['aplikasi', 'masuk', 'akun', 'vaksin', 'bulak', 'masukin']"
Saya buka aplikasi tgl 13/9/22 ada pembaharuan. Namun setelah klik pembaharuan justru tidak bisa dibuka. Dibuka masuk ke setting awal dengan memasukan no HP / email. Begitu dimasukan nomor HP cuma putar putar melulu tidak bisa buka sama sekali,"['buka', 'aplikasi', 'pembaharuan', 'klik', 'pembaharuan', 'dibuka', 'dibuka', 'masuk', 'memasukan', 'email', 'dimasukan', 'putar', 'putar', 'buka']","['buka', 'aplikasi', 'baharu', 'klik', 'baharu', 'buka', 'buka', 'masuk', 'pasu', 'email', 'masuk', 'putar', 'putar', 'buka']"
cukup baik dan cepat,['cepat'],['cepat']
"Dipaksa pake aplikasi ini, tp error terus. Pagi-pagi buru-buru naik krl disuruh scan tapi aplikasinya error gabisa scan qrcode. Tolong lah diperbaiki error error yang sering terjadi seperti itu. Menyusahkan sekali.","['dipaksa', 'aplikasi', 'disuruh', 'aplikasinya', 'tolong', 'diperbaiki', 'menyusahkan']","['paksa', 'aplikasi', 'suruh', 'aplikasi', 'tolong', 'baik', 'susah']"
Klaim sertifikat vaksin tgl lahir ga bisa di ketik bikin susah org ajah,"['klaim', 'sertifikat', 'vaksin', 'lahir', 'ketik', 'susah']","['klaim', 'sertifikat', 'vaksin', 'lahir', 'ketik', 'susah']"
"Apaan dah setiap mau download sertifikat vaksin selalu aja lari nya login dulu, udh tau di aplikasi udh terdaftar disitu. Gimana kali","['sertifikat', 'vaksin', 'lari', 'aplikasi', 'terdaftar', 'disitu']","['sertifikat', 'vaksin', 'lari', 'aplikasi', 'daftar', 'situ']"
"Astaghfirullah mau liat sertifikat vaksin susahnya bukan main suruh login terlebih dahulu padahal saya sudah masuk dengan email / no hp terdaftar tapi gak bisa masuk"" aplikasinya kebanyakan loading gak jelas sama kaya kepemerintahan indo jadi emosi di saat"" di butuhkan. Benci banget sama pemerintah Indonesia,","['sertifikat', 'vaksin', 'susahnya', 'main', 'suruh', 'masuk', 'email', 'terdaftar', 'masuk', 'aplikasinya', 'kepemerintahan', 'emosi', 'butuhkan', 'benci', 'pemerintah', 'indonesia']","['sertifikat', 'vaksin', 'susah', 'main', 'suruh', 'masuk', 'email', 'daftar', 'masuk', 'aplikasi', 'perintah', 'emosi', 'butuh', 'benci', 'perintah', 'indonesia']"
ingin masuk aplikasi kenapa tidak bisa ya padahal saya mau cetak sertifikat vaksin saya,"['masuk', 'aplikasi', 'cetak', 'sertifikat', 'vaksin']","['masuk', 'aplikasi', 'cetak', 'sertifikat', 'vaksin']"
sejak di perbarui tidak bisa masuk eeeerrrrooorrrrr,"['perbarui', 'masuk']","['baru', 'masuk']"
Responsif,['responsif'],['responsif']
gobllogd aplikasi tejelas sok ngeleg jaringan mah lancar,"['aplikasi', 'jaringan', 'lancar']","['aplikasi', 'jaring', 'lancar']"
dikit dikit update. mna klo blm update gamau ke buka apk nya .. klo ga wajib di perusaan mh dah gw uninstal,"['buka', 'wajib']","['buka', 'wajib']"
Apk pembaruan tambah parah,"['pembaruan', 'parah']","['baru', 'parah']"
"Ketika dibutuhkan segera malah lama loadingnya, login ulang gagal. Gimana ini kemenkes? :(","['dibutuhkan', 'ulang', 'gagal', 'kemenkes']","['butuh', 'ulang', 'gagal', 'kemenkes']"
Selalu minta diperbaharui dan susah dibuka😏,"['diperbaharui', 'susah', 'dibuka']","['baharu', 'susah', 'buka']"
"yang buat aplikasi pea, gw mau berangkat udah boster malah eror ke ditec nya vaksin ke dua lagi","['aplikasi', 'berangkat', 'boster', 'vaksin']","['aplikasi', 'berangkat', 'boster', 'vaksin']"
"Kenapa tida bisa login menggunakan nomor telpon yang terdaftar, ..",['terdaftar'],['daftar']
Daftar akun aja ga bisa,"['daftar', 'akun']","['daftar', 'akun']"
up det mulu giliran di updet gak bisa masuk,"['giliran', 'masuk']","['gilir', 'masuk']"
Error habis diperbaharui malah logout sendiri mau login lagi tambah ribet,"['habis', 'diperbaharui', 'ribet']","['habis', 'baharu', 'ribet']"
Sering update malah gk bisa masuk,['masuk'],['masuk']
"Ini mau Masuk Akun kok gak bisa udah berkali-kali dicoba terjadi kesalahan terus. Padahal udah pernah login, saya coba daftar ulang malah udah mengirim 3 kali kode Verifikasi. Kan aneh ini gimana???","['masuk', 'akun', 'dicoba', 'kesalahan', 'coba', 'daftar', 'ulang', 'mengirim', 'kode', 'verifikasi', 'aneh']","['masuk', 'akun', 'coba', 'salah', 'coba', 'daftar', 'ulang', 'kirim', 'kode', 'verifikasi', 'aneh']"
"Aplikasi harus masuk ulang dan daftar ulang, dicoba berkali kali tidak bisa, padahal cuma mau cek sertifikat vaksin saja","['aplikasi', 'masuk', 'ulang', 'daftar', 'ulang', 'dicoba', 'berkali', 'sertifikat', 'vaksin']","['aplikasi', 'masuk', 'ulang', 'daftar', 'ulang', 'coba', 'kali', 'sertifikat', 'vaksin']"
suka kendala scan barcode,"['suka', 'kendala']","['suka', 'kendala']"
habis diupdate makin ribet,"['habis', 'ribet']","['habis', 'ribet']"
semoga semakin baik,['semoga'],['moga']
"Gabisa masuk terus, sudah uninstall - reinstall - restart hp - login dari web . Semua sudah dilakuin tapi tetep gabisa masuk","['masuk', 'web', 'masuk']","['masuk', 'web', 'masuk']"
"Setiap akan dibuka loadingnya sangat lama. Ketika sudah berhasil terbuka aplikasinya, setiap mau masuk ke sub menu sangat amat berat bahkan sampai no respon. Tolong kalau kerja yang serius. Jangan banyak gabutnya. Buat aplikasi seperti ini aja ga becus. Bukannya mempermudah malah mempersulit.","['dibuka', 'berhasil', 'terbuka', 'aplikasinya', 'masuk', 'menu', 'berat', 'respon', 'tolong', 'kerja', 'serius', 'aplikasi', 'mempermudah', 'mempersulit']","['buka', 'hasil', 'buka', 'aplikasi', 'masuk', 'menu', 'berat', 'respon', 'tolong', 'kerja', 'serius', 'aplikasi', 'mudah', 'sulit']"
Aplikasi terlalu sering update,['aplikasi'],['aplikasi']
Aplikasi macam apa ini login susah banget tolong betulin,"['aplikasi', 'susah', 'tolong']","['aplikasi', 'susah', 'tolong']"
Banyak masalahnya susah di buka loading terus,"['susah', 'buka']","['susah', 'buka']"
"Diperbaharui malah sulit dibuka, entahlah😂😂😂","['diperbaharui', 'sulit', 'dibuka']","['baharu', 'sulit', 'buka']"
.pembaruan plh tambah susahh...kurang respon jugaa...knapa suruh daftar lagi...,"['pembaruan', 'respon', 'suruh', 'daftar']","['baru', 'respon', 'suruh', 'daftar']"
"Ko Gabisa donwlod sertivikat booster,ko ada perbaruan gabisa kebuka siih","['perbaruan', 'kebuka']","['baru', 'buka']"
"Rusak, setelah update tidak bisa masuk untuk lihat sertifikas walaupun sudah di isi email","['rusak', 'masuk', 'lihat', 'isi', 'email']","['rusak', 'masuk', 'lihat', 'isi', 'email']"
program aplikasinya mengalami gangguan login....tolong segera ditangani karena saya tidak bisa login sejak 2 jam yang lalu,"['program', 'aplikasinya', 'mengalami', 'gangguan', 'ditangani', 'jam']","['program', 'aplikasi', 'alami', 'ganggu', 'tangan', 'jam']"
"Lagi buru"" Masuk stasiun harus scan pedulilundung, tetapi peduli lindungi susah sekali kebukanya, mungkin harus di kasih fitur pas buka pedulilindungi gak usah pake jaringan","['masuk', 'stasiun', 'pedulilundung', 'peduli', 'lindungi', 'susah', 'kebukanya', 'kasih', 'fitur', 'buka', 'pedulilindungi', 'jaringan']","['masuk', 'stasiun', 'pedulilundung', 'peduli', 'lindung', 'susah', 'buka', 'kasih', 'fitur', 'buka', 'pedulilindungi', 'jaring']"
BLOK. BIKIN APLIKASI GK JELAS SAT. BUKANNYA MEMPERMUDAH MALAH MEMPERSULIT. DULU LANCAR AJA BUKA DAN SCAN SEKARANG LEMOT NYA MINTA AMPUN. JGN BILANG GINIAN DOANG KENA HACKER,"['blok', 'aplikasi', 'mempermudah', 'mempersulit', 'lancar', 'buka', 'ampun', 'bilang']","['blok', 'aplikasi', 'mudah', 'sulit', 'lancar', 'buka', 'ampun', 'bilang']"
"Diperbaharui malah gak bisa masuk, aneh aplikasinya","['diperbaharui', 'masuk', 'aneh', 'aplikasinya']","['baharu', 'masuk', 'aneh', 'aplikasi']"
"Aplikasi tolol,selalu update tapi tidak bisa digunakan",['aplikasi'],['aplikasi']
Habis update malah gbsa buka aplikasi,"['habis', 'buka', 'aplikasi']","['habis', 'buka', 'aplikasi']"
"Bang bantuin buat masuk lah bang, saya perlu buat kerja nih","['masuk', 'kerja']","['masuk', 'kerja']"
akhir akhir ini apps nya sering crash yang menyebabkan apps sering ke logout otomatis,"['menyebabkan', 'otomatis']","['sebab', 'otomatis']"
"Apps nya eror ni, saya login masa gabisa terjadi kesalahan terus aduhh",['kesalahan'],['salah']
Aplikasi ini belum bagus masih banyak yg harus dibenahi tp anehnya aplikasi ini berusaha monopoli namun seiring pulihnya kita dari covid 19 sebaiknya aplikasi ini ga perlu dipake lagi,"['aplikasi', 'bagus', 'dibenahi', 'anehnya', 'aplikasi', 'berusaha', 'monopoli', 'pulihnya', 'covid', 'aplikasi']","['aplikasi', 'bagus', 'benah', 'aneh', 'aplikasi', 'usaha', 'monopoli', 'pulih', 'covid', 'aplikasi']"
Selalu terupdate informasi terbaru,"['informasi', 'terbaru']","['informasi', 'baru']"
"Setelah di update tambah lemot, untuk login susah",['susah'],['susah']
Bagus,['bagus'],['bagus']
Kenapa tidak bisa login Setiap login selalu ada tulisan Terjadi kesalahan,"['tulisan', 'kesalahan']","['tulis', 'salah']"
Efektif dan cepat,"['efektif', 'cepat']","['efektif', 'cepat']"
"Lumayan bagus aplikasi nya, saya sangat menyukai nya...","['lumayan', 'bagus', 'aplikasi', 'menyukai']","['lumayan', 'bagus', 'aplikasi', 'suka']"
"Abis di update malah tambah parah. Gak bisa scan kode, login buat liat sertifikat vaksin malah gak bisa baik di situs sama aplikasi. Harusnya mah kalo update, tambah bener aplikasinya bukan tambah masalah baru bagi penggunanya. Tolong di fix setelahnya, saya susah kerja kalau begini.","['parah', 'kode', 'sertifikat', 'vaksin', 'situs', 'aplikasi', 'aplikasinya', 'penggunanya', 'tolong', 'susah', 'kerja']","['parah', 'kode', 'sertifikat', 'vaksin', 'situs', 'aplikasi', 'aplikasi', 'guna', 'tolong', 'susah', 'kerja']"
"gk masuk” pdhl lg penting,ribetin","['masuk', '”']","['masuk', '']"
RUMIT SERING BANGET NYURUH UPGRADE TAPI SETELAH UPGRADE MALAH GAK BISA LOG IN.,['rumit'],['rumit']
Aplikasi eror jelek banget,"['aplikasi', 'jelek']","['aplikasi', 'jelek']"
"Bro, kenapa apk ini ga ad di hp samsung mini? Apakah tidak support dg hp jadul?",['samsung'],['samsung']
Aplikasi nya tidak bisa d buka daftar juga gagal trus padahal kuota banyak..payah,"['aplikasi', 'buka', 'daftar', 'gagal', 'kuota']","['aplikasi', 'buka', 'daftar', 'gagal', 'kuota']"
Ga bs dipake aplikasinya. Buffer terus. Ga jelas.,['aplikasinya'],['aplikasi']
"Aplikasi apaan dah, nggak bisa masuk sama sekali","['aplikasi', 'masuk']","['aplikasi', 'masuk']"
"Aplikasi bikin ribet. Fungsi ga jelas, logout sendiri terus.","['aplikasi', 'ribet', 'fungsi']","['aplikasi', 'ribet', 'fungsi']"
"Apa sih?! kok gabisa login terusss!! udh coba ulang² tetep gabisa login, kelamaan jadi males nunggunya!","['coba', 'ulang', 'nunggunya']","['coba', 'ulang', 'nunggunya']"
"Aplikasi tidak bisa di update, lag ditengah jalan. Saat dibatalkan update, play store ikut lag, saya coba uninstal dan itupun harus berkali², dan kembali saya download ulang, tetap lag ditengah/di'73% saat mendownload! Tolong Segera perbaiki bug","['aplikasi', 'ditengah', 'jalan', 'dibatalkan', 'coba', 'berkali', 'ulang', 'tolong', 'perbaiki']","['aplikasi', 'tengah', 'jalan', 'batal', 'coba', 'kali', 'ulang', 'tolong', 'baik']"
Sangat baik dan bagus,['bagus'],['bagus']
"Klo buat aplikasi yg benerlah, masa eror mulu..",['aplikasi'],['aplikasi']
Sering crushing. Skrg malah isinya time out melulu ga bs akses. Pdhal awalnya bagus. Setelah update lgsg rusak,"['isinya', 'akses', 'bagus', 'rusak']","['isi', 'akses', 'bagus', 'rusak']"
aplikasi eror kek babi,['aplikasi'],['aplikasi']
Mudah terbang kemana aja,"['mudah', 'terbang']","['mudah', 'terbang']"
"Udah berkali kali uninstal tetep ga bisa masuk ya ke aplikasi nya tolong di perbaiki sistem nya, repot kalo gini ga bisa scan barcode, mau login terjadi kesalahan terus","['berkali', 'masuk', 'aplikasi', 'tolong', 'perbaiki', 'sistem', 'repot', 'kesalahan']","['kali', 'masuk', 'aplikasi', 'tolong', 'baik', 'sistem', 'repot', 'salah']"
"Akun tiba tiba keluar dari aplikasi,dan harus login ulang..no hp dan email udah betul saat masuk tidak bisa katanya terjadi kesalahan..tolonglah perbaiki lagi jangan menyusahkan pengguna,kami juga yg repot...","['akun', 'email', 'masuk', 'perbaiki', 'menyusahkan', 'repot']","['akun', 'email', 'masuk', 'baik', 'susah', 'repot']"
Aplikasi rusak,"['aplikasi', 'rusak']","['aplikasi', 'rusak']"
Terjadi kesalahan terus sewaktu login padahal sudah punya akun dan sudah ikut vaksin sampai booster,"['kesalahan', 'akun', 'vaksin', 'booster']","['salah', 'akun', 'vaksin', 'booster']"
Sumpah pas update malah ngaco aplikasi nya parah...,"['sumpah', 'aplikasi', 'parah']","['sumpah', 'aplikasi', 'parah']"
Mantap,['mantap'],['mantap']
"hedeh hari2 bukan makin bagus malah makin ribet aplikasinya, udah loading nya lama mau liat sertifikat vaksin juga harus ngisi data dll padahl di versi sebelumnya udah ngisi pas awal daftar aplikasi pemerintah emg ga ada yg bener","['bagus', 'ribet', 'aplikasinya', 'sertifikat', 'vaksin', 'data', 'versi', 'daftar', 'aplikasi', 'pemerintah']","['bagus', 'ribet', 'aplikasi', 'sertifikat', 'vaksin', 'data', 'versi', 'daftar', 'aplikasi', 'perintah']"
Ribet juga,['ribet'],['ribet']
Cek bantuan BLT,['bantuan'],['bantu']
Hingga copit punah,['punah'],['punah']
Sumpah ya eror terus abis di upgrade mlh ga bisa di buka,"['sumpah', 'buka']","['sumpah', 'buka']"
"Aplikasi nya knapa ga bisa masuk akun ya, padahal sdah masukkan email...??","['aplikasi', 'masuk', 'akun', 'masukkan', 'email']","['aplikasi', 'masuk', 'akun', 'masuk', 'email']"
"Sebentar lagi mau berangkat, tapi gak bisa login! Gimana ya?","['sebentar', 'berangkat']","['sebentar', 'berangkat']"
"Aplikasinya bnyak tingkah selalu terjadi kesalahan di ulng"" trus sy bukan robot ngga bsa masuk sma sekali","['aplikasinya', 'tingkah', 'kesalahan', 'robot', 'masuk']","['aplikasi', 'tingkah', 'salah', 'robot', 'masuk']"
Top,['top'],['top']
"Buruk waktu mau cek d aplikasi ternyata TDK bs trs uninstall dan update kemudian coba masuk sesuai petunjuk ternyata TDK bisa jwb terjadi kesalahan pdhl no dan email sdh sesuai TDK berubah, bnr2 aplikasi buruk sekali","['buruk', 'aplikasi', 'coba', 'masuk', 'petunjuk', 'kesalahan', 'email', 'berubah', 'aplikasi', 'buruk']","['buruk', 'aplikasi', 'coba', 'masuk', 'tunjuk', 'salah', 'email', 'ubah', 'aplikasi', 'buruk']"
"Bayak tempat mengharuskan scan barcode,,aplikasi gak mendukung,,hubungi segera semua pihak lokasi tanggalkan kewajiban scan barcode peduli lindungi sebelum aplikasi sempurna","['mengharuskan', 'lokasi', 'kewajiban', 'peduli', 'lindungi', 'aplikasi', 'sempurna']","['harus', 'lokasi', 'wajib', 'peduli', 'lindung', 'aplikasi', 'sempurna']"
"Mau login ga ada pergerakan sama sekali, udah klik pake nomor telpon, pakai email, tetep aja di halaman menu utama login. Memori juga mash longgar banget wkwkwk","['klik', 'pakai', 'email', 'halaman', 'menu', 'utama', 'memori']","['klik', 'pakai', 'email', 'halaman', 'menu', 'utama', 'memori']"
Nyusahin aplikasi lo . Dah bener ada di grab sama gojek .. aplikasi susah dibuka pula,"['aplikasi', 'aplikasi', 'susah', 'dibuka']","['aplikasi', 'aplikasi', 'susah', 'buka']"
Udah di pebarui masuk ko malah sulit,"['pebarui', 'masuk', 'sulit']","['baru', 'masuk', 'sulit']"
"Setelah update Masa sertifikat vaksinnya hilang,padahal sebelum update di cek sertifikatnya masih ada,ada tambahan lagi nih ada pop up sesi anda telah habis terus di suruh login ulang, pas login dan sudah masukkin nomer tlp malah ga bisa masuk stuck di menu login ,sudah di coba pakai WiFi juga sama ,padahal sinyal juga aman","['sertifikat', 'vaksinnya', 'sertifikatnya', 'tambahan', 'sesi', 'habis', 'suruh', 'ulang', 'masuk', 'menu', 'coba', 'pakai', 'sinyal', 'aman']","['sertifikat', 'vaksin', 'sertifikat', 'tambah', 'sesi', 'habis', 'suruh', 'ulang', 'masuk', 'menu', 'coba', 'pakai', 'sinyal', 'aman']"
"Kenapa aplikasinya tiba tiba keluar😭terus dicoba masuk kembali tapi gabisa pake nomer hp gabisa pake email juga gabisa, sampek copot pemasangan 3 kali masih gabisa, terjadi eror coba lagi kembali, keluar tulisan gitu terus😭tolong dong penting buat kerja ini","['aplikasinya', 'dicoba', 'masuk', 'email', 'copot', 'pemasangan', 'coba', 'tulisan', 'kerja']","['aplikasi', 'coba', 'masuk', 'email', 'copot', 'pasang', 'coba', 'tulis', 'kerja']"
"Aplikasi bermasalah terus, tidak bisa masuk.","['aplikasi', 'bermasalah', 'masuk']","['aplikasi', 'masalah', 'masuk']"
Bagus,['bagus'],['bagus']
Kualitas sangat buruk Loading lama Loading gagal Masuk susah,"['kualitas', 'buruk', 'gagal', 'masuk', 'susah']","['kualitas', 'buruk', 'gagal', 'masuk', 'susah']"
Parahnya bngtan,['parahnya'],['parah']
Banyak bug padaha aplikasi penting,['aplikasi'],['aplikasi']
"Terlalu rumit tu mencari Tanggal lahir, mohon di update biar tanggal lahir dan tahunnya bisa di masukkan manual, terlalu lama scroll nya menuju tahun kelahiran yg lbh tua","['rumit', 'mencari', 'tanggal', 'lahir', 'mohon', 'tanggal', 'lahir', 'tahunnya', 'masukkan', 'manual', 'kelahiran', 'tua']","['rumit', 'cari', 'tanggal', 'lahir', 'mohon', 'tanggal', 'lahir', 'tahun', 'masuk', 'manual', 'lahir', 'tua']"
Hp saya ilang terus gmana carany biar semua data peduli lindungi ada no emailnya lupa sm password nya jg,"['data', 'peduli', 'lindungi', 'lupa', 'password']","['data', 'peduli', 'lindung', 'lupa', 'password']"
